ID,Timestamp,Days,Hours,Minutes,RawData
C1,24301,0,6,45,###C1#T0#S2_4.10#T1#S3_24.3#T2#S1_-0.01_A11#T3#S1_0.00_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.00_A11#E#
C1,24601,0,6,50,###C1#T0#S2_4.10#T1#S3_24.3#T2#S1_-0.01_A11#T3#S1_0.00_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.00_A11#E#
C1,24901,0,6,55,###C1#T0#S2_4.10#T1#S3_24.3#T2#S1_-0.01_A11#T3#S1_0.00_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.00_A11#E#
C1,25201,0,7,0,###C1#T0#S2_4.10#T1#S3_24.3#T2#S1_-0.00_A11#T3#S1_0.00_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.00_A11#E#
C1,25501,0,7,5,###C1#T0#S2_4.10#T1#S3_24.3#T2#S1_-0.00_A11#T3#S1_-0.00_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.00_A11#E#
C1,25801,0,7,10,###C1#T0#S2_4.10#T1#S3_24.3#T2#S1_-0.01_A11#T3#S1_0.00_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.00_A11#E#
C1,26101,0,7,15,###C1#T0#S2_4.10#T1#S3_24.3#T2#S1_-0.01_A11#T3#S1_0.00_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.00_A11#E#
C1,26401,0,7,20,###C1#T0#S2_4.10#T1#S3_24.3#T2#S1_-0.01_A11#T3#S1_0.00_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.00_A11#E#
C1,26701,0,7,25,###C1#T0#S2_4.10#T1#S3_24.3#T2#S1_-0.01_A11#T3#S1_0.00_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.00_A11#E#
C1,27001,0,7,30,###C1#T0#S2_4.10#T1#S3_24.3#T2#S1_-0.01_A11#T3#S1_-0.00_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.00_A11#E#
C1,27301,0,7,35,###C1#T0#S2_4.10#T1#S3_24.3#T2#S1_-0.01_A11#T3#S1_0.00_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.00_A11#E#
C1,27601,0,7,40,###C1#T0#S2_4.10#T1#S3_24.3#T2#S1_-0.00_A11#T3#S1_-0.00_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.00_A11#E#
C1,27901,0,7,45,###C1#T0#S2_4.10#T1#S3_24.3#T2#S1_-0.01_A11#T3#S1_0.00_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.00_A11#E#
C1,28201,0,7,50,###C1#T0#S2_4.10#T1#S3_24.3#T2#S1_-0.01_A11#T3#S1_0.00_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.00_A11#E#
C1,28501,0,7,55,###C1#T0#S2_4.10#T1#S3_24.3#T2#S1_-0.01_A11#T3#S1_-0.00_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.00_A11#E#
C1,28801,0,8,0,###C1#T0#S2_4.10#T1#S3_24.3#T2#S1_0.00_A11#T3#S1_0.00_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.00_A11#E#
C1,29101,0,8,5,###C1#T0#S2_4.10#T1#S3_24.3#T2#S1_-0.01_A11#T3#S1_-0.00_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.00_A11#E#
C1,29401,0,8,10,###C1#T0#S2_4.10#T1#S3_24.3#T2#S1_-0.01_A11#T3#S1_0.00_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.00_A11#E#
C1,29701,0,8,15,###C1#T0#S2_4.10#T1#S3_24.3#T2#S1_-0.00_A11#T3#S1_0.00_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.00_A11#E#
C1,30001,0,8,20,###C1#T0#S2_4.10#T1#S3_24.3#T2#S1_-0.01_A11#T3#S1_-0.00_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.00_A11#E#
C1,30301,0,8,25,###C1#T0#S2_4.10#T1#S3_24.3#T2#S1_-0.01_A11#T3#S1_-0.00_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.00_A11#E#
C1,30601,0,8,30,###C1#T0#S2_4.10#T1#S3_24.0#T2#S1_-0.00_A11#T3#S1_-0.00_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.00_A11#E#
C1,30901,0,8,35,###C1#T0#S2_4.10#T1#S3_24.0#T2#S1_-0.01_A11#T3#S1_0.00_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.00_A11#E#
C1,31201,0,8,40,###C1#T0#S2_4.10#T1#S3_24.0#T2#S1_-0.01_A11#T3#S1_0.00_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.00_A11#E#
